2024-04-16 13:26:01 INFO     Learing Rate: 0.001
2024-04-16 13:26:18 INFO     Epoch: 490, Score: 6, Loss: 0.9991368055343628, Train Reward: 16, Eval Reward: 8
2024-04-16 13:26:18 INFO     Epoch: 500, Score: 12, Loss: 5.925296306610107, Train Reward: 13, Eval Reward: 14
2024-04-16 13:26:18 INFO     Epoch: 510, Score: 11, Loss: 3.053492307662964, Train Reward: 10, Eval Reward: 13
2024-04-16 13:26:19 INFO     Epoch: 520, Score: 16, Loss: 7.889571189880371, Train Reward: 14, Eval Reward: 18
2024-04-16 13:26:19 INFO     Epoch: 530, Score: 11, Loss: 10.979344367980957, Train Reward: 16, Eval Reward: 13
2024-04-16 13:26:19 INFO     Epoch: 540, Score: 7, Loss: 5.914178371429443, Train Reward: 12, Eval Reward: 9
2024-04-16 13:26:20 INFO     Epoch: 550, Score: 14, Loss: -6.229202747344971, Train Reward: 13, Eval Reward: 16
2024-04-16 13:26:20 INFO     Epoch: 560, Score: 10, Loss: 6.036165237426758, Train Reward: 12, Eval Reward: 12
2024-04-16 13:26:20 INFO     Epoch: 570, Score: 8, Loss: 4.342711448669434, Train Reward: 13, Eval Reward: 10
2024-04-16 13:26:21 INFO     Epoch: 580, Score: 10, Loss: -5.127540111541748, Train Reward: 13, Eval Reward: 12
2024-04-16 13:26:21 INFO     Epoch: 590, Score: 8, Loss: -2.090531826019287, Train Reward: 11, Eval Reward: 10
2024-04-16 13:26:21 INFO     Epoch: 600, Score: 14, Loss: -4.452702045440674, Train Reward: 14, Eval Reward: 16
2024-04-16 13:26:21 INFO     Epoch: 610, Score: 13, Loss: 7.583573818206787, Train Reward: 19, Eval Reward: 15
2024-04-16 13:26:22 INFO     Epoch: 620, Score: 11, Loss: -0.5879775285720825, Train Reward: 11, Eval Reward: 13
2024-04-16 13:26:22 INFO     Epoch: 630, Score: 8, Loss: 4.836224555969238, Train Reward: 16, Eval Reward: 10
2024-04-16 13:26:22 INFO     Epoch: 640, Score: 7, Loss: -0.37311244010925293, Train Reward: 10, Eval Reward: 9
2024-04-16 13:26:23 INFO     Epoch: 650, Score: 12, Loss: 6.920092582702637, Train Reward: 11, Eval Reward: 14
2024-04-16 13:26:23 INFO     Epoch: 660, Score: 8, Loss: 3.0028843879699707, Train Reward: 13, Eval Reward: 10
2024-04-16 13:26:23 INFO     Epoch: 670, Score: 13, Loss: 1.3705871105194092, Train Reward: 12, Eval Reward: 15
2024-04-16 13:26:23 INFO     Epoch: 680, Score: 9, Loss: 12.493322372436523, Train Reward: 15, Eval Reward: 11
2024-04-16 13:26:24 INFO     Epoch: 690, Score: 12, Loss: -2.2724428176879883, Train Reward: 8, Eval Reward: 14
2024-04-16 13:26:24 INFO     Epoch: 700, Score: 9, Loss: 6.88406229019165, Train Reward: 10, Eval Reward: 11
2024-04-16 13:26:24 INFO     Epoch: 710, Score: 10, Loss: 1.9768059253692627, Train Reward: 15, Eval Reward: 12
2024-04-16 13:26:24 INFO     Epoch: 720, Score: 6, Loss: -7.957179546356201, Train Reward: 12, Eval Reward: 8
2024-04-16 13:26:25 INFO     Epoch: 730, Score: 11, Loss: -4.451627254486084, Train Reward: 10, Eval Reward: 13
2024-04-16 13:26:25 INFO     Epoch: 740, Score: 9, Loss: -6.3762993812561035, Train Reward: 12, Eval Reward: 11
2024-04-16 13:26:25 INFO     Epoch: 750, Score: 6, Loss: -0.6749266386032104, Train Reward: 13, Eval Reward: 8
2024-04-16 13:26:26 INFO     Epoch: 760, Score: 10, Loss: -1.108237385749817, Train Reward: 15, Eval Reward: 12
2024-04-16 13:26:26 INFO     Epoch: 770, Score: 13, Loss: 2.111860752105713, Train Reward: 10, Eval Reward: 15
2024-04-16 13:26:26 INFO     Epoch: 780, Score: 11, Loss: 0.42356371879577637, Train Reward: 9, Eval Reward: 13
2024-04-16 13:26:26 INFO     Epoch: 790, Score: 12, Loss: 10.681761741638184, Train Reward: 14, Eval Reward: 14
2024-04-16 13:26:27 INFO     Epoch: 800, Score: 8, Loss: -4.8359055519104, Train Reward: 14, Eval Reward: 10
2024-04-16 13:26:27 INFO     Epoch: 810, Score: 9, Loss: 3.3048095703125, Train Reward: 11, Eval Reward: 11
2024-04-16 13:26:27 INFO     Epoch: 820, Score: 10, Loss: 0.2985613942146301, Train Reward: 16, Eval Reward: 12
2024-04-16 13:26:28 INFO     Epoch: 830, Score: 10, Loss: 3.9220008850097656, Train Reward: 11, Eval Reward: 12
2024-04-16 13:26:28 INFO     Epoch: 840, Score: 8, Loss: 2.368717908859253, Train Reward: 16, Eval Reward: 10
2024-04-16 13:26:28 INFO     Epoch: 850, Score: 7, Loss: -1.5727043151855469, Train Reward: 9, Eval Reward: 9
2024-04-16 13:26:28 INFO     Epoch: 860, Score: 11, Loss: 0.4333992302417755, Train Reward: 14, Eval Reward: 13
2024-04-16 13:26:29 INFO     Epoch: 870, Score: 13, Loss: 1.5175361633300781, Train Reward: 18, Eval Reward: 15
2024-04-16 13:26:29 INFO     Epoch: 880, Score: 12, Loss: 4.780830383300781, Train Reward: 16, Eval Reward: 14
2024-04-16 13:26:29 INFO     Epoch: 890, Score: 12, Loss: -6.738300800323486, Train Reward: 12, Eval Reward: 14
2024-04-16 13:26:30 INFO     Epoch: 900, Score: 12, Loss: 5.16400146484375, Train Reward: 13, Eval Reward: 14
2024-04-16 13:26:30 INFO     Epoch: 910, Score: 11, Loss: 5.378552436828613, Train Reward: 14, Eval Reward: 13
2024-04-16 13:26:30 INFO     Epoch: 920, Score: 9, Loss: -4.964463710784912, Train Reward: 20, Eval Reward: 11
2024-04-16 13:26:30 INFO     Epoch: 930, Score: 7, Loss: -5.632946014404297, Train Reward: 19, Eval Reward: 9
