2024-04-16 13:25:51 INFO     Learing Rate: 0.001
2024-04-16 13:25:51 INFO     Seed: 234
2024-04-16 13:26:08 INFO     Epoch: 490, Score: 16, Loss: 3.461106538772583, Train Reward: 14, Eval Reward: 18
2024-04-16 13:26:08 INFO     Epoch: 500, Score: 11, Loss: 6.505884170532227, Train Reward: 15, Eval Reward: 13
2024-04-16 13:26:09 INFO     Epoch: 510, Score: 9, Loss: 3.4294657707214355, Train Reward: 12, Eval Reward: 11
2024-04-16 13:26:09 INFO     Epoch: 520, Score: 11, Loss: -2.0993247032165527, Train Reward: 15, Eval Reward: 13
2024-04-16 13:26:09 INFO     Epoch: 530, Score: 7, Loss: -0.59748375415802, Train Reward: 20, Eval Reward: 9
2024-04-16 13:26:09 INFO     Epoch: 540, Score: 11, Loss: 0.688271164894104, Train Reward: 13, Eval Reward: 13
2024-04-16 13:26:10 INFO     Epoch: 550, Score: 10, Loss: 3.4964113235473633, Train Reward: 16, Eval Reward: 12
2024-04-16 13:26:10 INFO     Epoch: 560, Score: 7, Loss: 3.657604932785034, Train Reward: 18, Eval Reward: 9
2024-04-16 13:26:10 INFO     Epoch: 570, Score: 12, Loss: -3.7141549587249756, Train Reward: 13, Eval Reward: 14
2024-04-16 13:26:11 INFO     Epoch: 580, Score: 12, Loss: 6.342205047607422, Train Reward: 11, Eval Reward: 14
2024-04-16 13:26:11 INFO     Epoch: 590, Score: 9, Loss: 2.475846767425537, Train Reward: 15, Eval Reward: 11
2024-04-16 13:26:11 INFO     Epoch: 600, Score: 7, Loss: 1.0598922967910767, Train Reward: 10, Eval Reward: 9
2024-04-16 13:26:11 INFO     Epoch: 610, Score: 12, Loss: 7.554550647735596, Train Reward: 22, Eval Reward: 14
2024-04-16 13:26:12 INFO     Epoch: 620, Score: 7, Loss: 2.261518955230713, Train Reward: 15, Eval Reward: 9
2024-04-16 13:26:12 INFO     Epoch: 630, Score: 6, Loss: 1.8213574886322021, Train Reward: 10, Eval Reward: 8
2024-04-16 13:26:12 INFO     Epoch: 640, Score: 14, Loss: 10.649683952331543, Train Reward: 15, Eval Reward: 16
2024-04-16 13:26:12 INFO     Epoch: 650, Score: 8, Loss: -3.3030200004577637, Train Reward: 10, Eval Reward: 10
2024-04-16 13:26:13 INFO     Epoch: 660, Score: 9, Loss: -0.3293914794921875, Train Reward: 10, Eval Reward: 11
2024-04-16 13:26:13 INFO     Epoch: 670, Score: 9, Loss: -0.00608372688293457, Train Reward: 9, Eval Reward: 11
2024-04-16 13:26:13 INFO     Epoch: 680, Score: 8, Loss: -5.194765090942383, Train Reward: 13, Eval Reward: 10
2024-04-16 13:26:13 INFO     Epoch: 690, Score: 8, Loss: 0.4586641788482666, Train Reward: 18, Eval Reward: 10
2024-04-16 13:26:14 INFO     Epoch: 700, Score: 12, Loss: -2.7315144538879395, Train Reward: 13, Eval Reward: 14
2024-04-16 13:26:14 INFO     Epoch: 710, Score: 10, Loss: 9.405369758605957, Train Reward: 12, Eval Reward: 12
2024-04-16 13:26:14 INFO     Epoch: 720, Score: 11, Loss: -0.5117651224136353, Train Reward: 15, Eval Reward: 13
2024-04-16 13:26:14 INFO     Epoch: 730, Score: 11, Loss: -3.1619584560394287, Train Reward: 10, Eval Reward: 13
2024-04-16 13:26:15 INFO     Epoch: 740, Score: 9, Loss: 0.029727676883339882, Train Reward: 15, Eval Reward: 11
2024-04-16 13:26:15 INFO     Epoch: 750, Score: 9, Loss: 1.2522720098495483, Train Reward: 10, Eval Reward: 11
2024-04-16 13:26:15 INFO     Epoch: 760, Score: 9, Loss: -4.160675048828125, Train Reward: 8, Eval Reward: 11
2024-04-16 13:26:15 INFO     Epoch: 770, Score: 7, Loss: -0.46031296253204346, Train Reward: 10, Eval Reward: 9
2024-04-16 13:26:16 INFO     Epoch: 780, Score: 6, Loss: -1.0257928371429443, Train Reward: 7, Eval Reward: 8
2024-04-16 13:26:16 INFO     Epoch: 790, Score: 6, Loss: 0.06132736802101135, Train Reward: 10, Eval Reward: 8
2024-04-16 13:26:16 INFO     Epoch: 800, Score: 11, Loss: 1.771567940711975, Train Reward: 16, Eval Reward: 13
2024-04-16 13:26:17 INFO     Epoch: 810, Score: 9, Loss: 1.7116708755493164, Train Reward: 11, Eval Reward: 11
2024-04-16 13:26:17 INFO     Epoch: 820, Score: 10, Loss: -5.707925319671631, Train Reward: 14, Eval Reward: 12
2024-04-16 13:26:17 INFO     Epoch: 830, Score: 8, Loss: -3.4463446140289307, Train Reward: 15, Eval Reward: 10
2024-04-16 13:26:17 INFO     Epoch: 840, Score: 7, Loss: -5.61299991607666, Train Reward: 9, Eval Reward: 9
2024-04-16 13:26:17 INFO     Epoch: 850, Score: 11, Loss: -5.870593070983887, Train Reward: 8, Eval Reward: 13
2024-04-16 13:26:18 INFO     Epoch: 860, Score: 10, Loss: 10.496281623840332, Train Reward: 11, Eval Reward: 12
2024-04-16 13:26:18 INFO     Epoch: 870, Score: 7, Loss: -4.618016719818115, Train Reward: 9, Eval Reward: 9
2024-04-16 13:26:18 INFO     Epoch: 880, Score: 7, Loss: -0.42809125781059265, Train Reward: 12, Eval Reward: 9
2024-04-16 13:26:18 INFO     Epoch: 890, Score: 10, Loss: -8.396430015563965, Train Reward: 13, Eval Reward: 12
2024-04-16 13:26:19 INFO     Epoch: 900, Score: 10, Loss: 3.70182728767395, Train Reward: 9, Eval Reward: 12
2024-04-16 13:26:19 INFO     Epoch: 910, Score: 9, Loss: 6.116475582122803, Train Reward: 16, Eval Reward: 11
2024-04-16 13:26:19 INFO     Epoch: 920, Score: 13, Loss: 4.507015705108643, Train Reward: 10, Eval Reward: 15
2024-04-16 13:26:19 INFO     Epoch: 930, Score: 8, Loss: -1.5203065872192383, Train Reward: 17, Eval Reward: 10
2024-04-16 13:26:20 INFO     Epoch: 940, Score: 9, Loss: -1.4324510097503662, Train Reward: 11, Eval Reward: 11
2024-04-16 13:26:20 INFO     Epoch: 950, Score: 9, Loss: -11.578028678894043, Train Reward: 17, Eval Reward: 11
2024-04-16 13:26:20 INFO     Epoch: 960, Score: 10, Loss: -8.802983283996582, Train Reward: 21, Eval Reward: 12
2024-04-16 13:26:20 INFO     Epoch: 970, Score: 7, Loss: 3.51481556892395, Train Reward: 15, Eval Reward: 9
2024-04-16 13:26:21 INFO     Epoch: 980, Score: 8, Loss: 1.0926220417022705, Train Reward: 11, Eval Reward: 10
2024-04-16 13:26:21 INFO     Epoch: 990, Score: 7, Loss: -2.726170539855957, Train Reward: 12, Eval Reward: 9
2024-04-16 13:26:21 INFO     Epoch: 1000, Score: 7, Loss: 2.1989216804504395, Train Reward: 10, Eval Reward: 9
2024-04-16 13:26:21 INFO     Epoch: 1010, Score: 6, Loss: -10.643628120422363, Train Reward: 13, Eval Reward: 8
2024-04-16 13:26:22 INFO     Epoch: 1020, Score: 10, Loss: -0.8229825496673584, Train Reward: 10, Eval Reward: 12
2024-04-16 13:26:22 INFO     Epoch: 1030, Score: 15, Loss: -8.958396911621094, Train Reward: 12, Eval Reward: 17
2024-04-16 13:26:22 INFO     Epoch: 1040, Score: 8, Loss: -6.972114086151123, Train Reward: 11, Eval Reward: 10
2024-04-16 13:26:22 INFO     Epoch: 1050, Score: 8, Loss: -3.7453813552856445, Train Reward: 11, Eval Reward: 10
2024-04-16 13:26:23 INFO     Epoch: 1060, Score: 9, Loss: -6.234319686889648, Train Reward: 17, Eval Reward: 11
2024-04-16 13:26:23 INFO     Epoch: 1070, Score: 12, Loss: -4.326845169067383, Train Reward: 14, Eval Reward: 14
2024-04-16 13:26:23 INFO     Epoch: 1080, Score: 8, Loss: -1.8876268863677979, Train Reward: 14, Eval Reward: 10
2024-04-16 13:26:24 INFO     Epoch: 1090, Score: 8, Loss: 3.8932316303253174, Train Reward: 9, Eval Reward: 10
2024-04-16 13:26:24 INFO     Epoch: 1100, Score: 11, Loss: -7.569482326507568, Train Reward: 13, Eval Reward: 13
2024-04-16 13:26:24 INFO     Epoch: 1110, Score: 6, Loss: 0.12333059310913086, Train Reward: 12, Eval Reward: 8
2024-04-16 13:26:24 INFO     Epoch: 1120, Score: 7, Loss: 0.9476893544197083, Train Reward: 11, Eval Reward: 9
2024-04-16 13:26:25 INFO     Epoch: 1130, Score: 8, Loss: -0.6102104187011719, Train Reward: 15, Eval Reward: 10
2024-04-16 13:26:25 INFO     Epoch: 1140, Score: 8, Loss: -4.924645900726318, Train Reward: 13, Eval Reward: 10
2024-04-16 13:26:25 INFO     Epoch: 1150, Score: 9, Loss: -2.8538296222686768, Train Reward: 13, Eval Reward: 11
