2024-04-15 17:14:37 INFO     Epoch: 215, Loss: 164.15704345703125, Score: -190, Tetrominoes: 19, Cleared lines: 0
2024-04-15 17:14:37 INFO     Epoch: 216, Loss: 166.86117553710938, Score: -213, Tetrominoes: 27, Cleared lines: 0
2024-04-15 17:14:37 INFO     Epoch: 217, Loss: 166.2283935546875, Score: -191, Tetrominoes: 16, Cleared lines: 0
2024-04-15 17:14:37 INFO     Epoch: 218, Loss: 152.69093322753906, Score: -228, Tetrominoes: 19, Cleared lines: 0
2024-04-15 17:14:37 INFO     Epoch: 219, Loss: 160.14710998535156, Score: -228, Tetrominoes: 27, Cleared lines: 0
2024-04-15 17:14:37 INFO     Epoch: 220, Loss: 138.859619140625, Score: -207, Tetrominoes: 22, Cleared lines: 0
2024-04-15 17:14:37 INFO     Epoch: 221, Loss: 176.15805053710938, Score: -205, Tetrominoes: 16, Cleared lines: 0
2024-04-15 17:14:37 INFO     Epoch: 222, Loss: 155.6014862060547, Score: -201, Tetrominoes: 22, Cleared lines: 0
2024-04-15 17:14:37 INFO     Epoch: 223, Loss: 166.07632446289062, Score: -131, Tetrominoes: 12, Cleared lines: 0
2024-04-15 17:14:37 INFO     Epoch: 224, Loss: 150.2731475830078, Score: -170, Tetrominoes: 15, Cleared lines: 0
2024-04-15 17:14:37 INFO     Epoch: 225, Loss: 160.51925659179688, Score: -224, Tetrominoes: 19, Cleared lines: 0
2024-04-15 17:14:37 INFO     Epoch: 226, Loss: 170.2404327392578, Score: -196, Tetrominoes: 23, Cleared lines: 0
2024-04-15 17:14:37 INFO     Epoch: 227, Loss: 178.5494384765625, Score: -169, Tetrominoes: 21, Cleared lines: 0
2024-04-15 17:14:37 INFO     Epoch: 228, Loss: 196.0415496826172, Score: -187, Tetrominoes: 17, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 229, Loss: 163.13987731933594, Score: -181, Tetrominoes: 18, Cleared lines: 0
