2024-04-16 09:37:47 INFO     Epoch: 160, Loss: 1.7968896627426147, Score: 17, Tetrominoes: 19, Cleared lines: 0
2024-04-16 09:37:47 INFO     Epoch: 161, Loss: 1.5643051862716675, Score: 8, Tetrominoes: 10, Cleared lines: 0
2024-04-16 09:37:47 INFO     Epoch: 162, Loss: 1.4811912775039673, Score: 13, Tetrominoes: 15, Cleared lines: 0
2024-04-16 09:37:47 INFO     Epoch: 163, Loss: 1.244249701499939, Score: 14, Tetrominoes: 16, Cleared lines: 0
2024-04-16 09:37:47 INFO     Epoch: 164, Loss: 1.5541313886642456, Score: 11, Tetrominoes: 13, Cleared lines: 0
2024-04-16 09:37:47 INFO     Epoch: 165, Loss: 1.509904146194458, Score: 14, Tetrominoes: 16, Cleared lines: 0
2024-04-16 09:37:48 INFO     Epoch: 166, Loss: 1.0843665599822998, Score: 15, Tetrominoes: 17, Cleared lines: 0
2024-04-16 09:37:48 INFO     Epoch: 167, Loss: 0.9746175408363342, Score: 14, Tetrominoes: 16, Cleared lines: 0
2024-04-16 09:37:48 INFO     Epoch: 168, Loss: 1.1814346313476562, Score: 20, Tetrominoes: 22, Cleared lines: 0
2024-04-16 09:37:48 INFO     Epoch: 169, Loss: 1.1403007507324219, Score: 16, Tetrominoes: 18, Cleared lines: 0
2024-04-16 09:37:48 INFO     Epoch: 170, Loss: 0.9500335454940796, Score: 9, Tetrominoes: 11, Cleared lines: 0
2024-04-16 09:37:48 INFO     Epoch: 171, Loss: 0.826251208782196, Score: 19, Tetrominoes: 21, Cleared lines: 0
2024-04-16 09:37:48 INFO     Epoch: 172, Loss: 1.4247400760650635, Score: 15, Tetrominoes: 17, Cleared lines: 0
2024-04-16 09:37:48 INFO     Epoch: 173, Loss: 1.2532141208648682, Score: 11, Tetrominoes: 13, Cleared lines: 0
2024-04-16 09:37:48 INFO     Epoch: 174, Loss: 0.9762643575668335, Score: 16, Tetrominoes: 18, Cleared lines: 0
2024-04-16 09:37:48 INFO     Epoch: 175, Loss: 0.8047970533370972, Score: 16, Tetrominoes: 18, Cleared lines: 0
2024-04-16 09:37:48 INFO     Epoch: 176, Loss: 1.4609943628311157, Score: 13, Tetrominoes: 15, Cleared lines: 0
2024-04-16 09:37:48 INFO     Epoch: 177, Loss: 1.0605072975158691, Score: 21, Tetrominoes: 23, Cleared lines: 0
2024-04-16 09:37:49 INFO     Epoch: 178, Loss: 1.1271436214447021, Score: 18, Tetrominoes: 20, Cleared lines: 0
2024-04-16 09:37:49 INFO     Epoch: 179, Loss: 0.7522410750389099, Score: 19, Tetrominoes: 21, Cleared lines: 0
2024-04-16 09:37:49 INFO     Epoch: 180, Loss: 1.107991099357605, Score: 22, Tetrominoes: 24, Cleared lines: 0
2024-04-16 09:37:49 INFO     Epoch: 181, Loss: 1.0064194202423096, Score: 13, Tetrominoes: 15, Cleared lines: 0
2024-04-16 09:37:49 INFO     Epoch: 182, Loss: 0.9068707227706909, Score: 34, Tetrominoes: 26, Cleared lines: 1
2024-04-16 09:37:49 INFO     Epoch: 183, Loss: 1.0167468786239624, Score: 17, Tetrominoes: 19, Cleared lines: 0
2024-04-16 09:37:49 INFO     Epoch: 184, Loss: 1.1476128101348877, Score: 18, Tetrominoes: 20, Cleared lines: 0
2024-04-16 09:37:49 INFO     Epoch: 185, Loss: 1.0248205661773682, Score: 12, Tetrominoes: 14, Cleared lines: 0
2024-04-16 09:37:49 INFO     Epoch: 186, Loss: 0.8969931602478027, Score: 14, Tetrominoes: 16, Cleared lines: 0
2024-04-16 09:37:49 INFO     Epoch: 187, Loss: 0.9697394371032715, Score: 14, Tetrominoes: 16, Cleared lines: 0
2024-04-16 09:37:49 INFO     Epoch: 188, Loss: 1.1980631351470947, Score: 14, Tetrominoes: 16, Cleared lines: 0
2024-04-16 09:37:49 INFO     Epoch: 189, Loss: 1.019841194152832, Score: 23, Tetrominoes: 25, Cleared lines: 0
2024-04-16 09:37:49 INFO     Epoch: 190, Loss: 1.1990190744400024, Score: 29, Tetrominoes: 21, Cleared lines: 1
2024-04-16 09:37:50 INFO     Epoch: 191, Loss: 0.7597699165344238, Score: 20, Tetrominoes: 22, Cleared lines: 0
2024-04-16 09:37:50 INFO     Epoch: 192, Loss: 1.1288444995880127, Score: 17, Tetrominoes: 19, Cleared lines: 0
2024-04-16 09:37:50 INFO     Epoch: 193, Loss: 0.9958362579345703, Score: 13, Tetrominoes: 15, Cleared lines: 0
2024-04-16 09:37:50 INFO     Epoch: 194, Loss: 1.0868821144104004, Score: 23, Tetrominoes: 25, Cleared lines: 0
2024-04-16 09:37:50 INFO     Epoch: 195, Loss: 0.9603881239891052, Score: 20, Tetrominoes: 22, Cleared lines: 0
2024-04-16 09:37:50 INFO     Epoch: 196, Loss: 1.2005133628845215, Score: 24, Tetrominoes: 26, Cleared lines: 0
2024-04-16 09:37:50 INFO     Epoch: 197, Loss: 0.9764143228530884, Score: 12, Tetrominoes: 14, Cleared lines: 0
2024-04-16 09:37:50 INFO     Epoch: 198, Loss: 0.8414784669876099, Score: 17, Tetrominoes: 19, Cleared lines: 0
2024-04-16 09:37:50 INFO     Epoch: 199, Loss: 0.9903016090393066, Score: 16, Tetrominoes: 18, Cleared lines: 0
2024-04-16 09:37:50 INFO     Epoch: 200, Loss: 1.1942732334136963, Score: 16, Tetrominoes: 18, Cleared lines: 0
2024-04-16 09:37:50 INFO     Epoch: 201, Loss: 1.0073128938674927, Score: 17, Tetrominoes: 19, Cleared lines: 0
2024-04-16 09:37:50 INFO     Epoch: 202, Loss: 0.8913143873214722, Score: 19, Tetrominoes: 21, Cleared lines: 0
2024-04-16 09:37:50 INFO     Epoch: 203, Loss: 0.8631289005279541, Score: 31, Tetrominoes: 23, Cleared lines: 1
2024-04-16 09:37:50 INFO     Epoch: 204, Loss: 1.4822173118591309, Score: 17, Tetrominoes: 19, Cleared lines: 0
2024-04-16 09:37:51 INFO     Epoch: 205, Loss: 1.2588924169540405, Score: 20, Tetrominoes: 22, Cleared lines: 0
2024-04-16 09:37:51 INFO     Epoch: 206, Loss: 0.9017800092697144, Score: 20, Tetrominoes: 22, Cleared lines: 0
2024-04-16 09:37:51 INFO     Epoch: 207, Loss: 1.0267046689987183, Score: 14, Tetrominoes: 16, Cleared lines: 0
2024-04-16 09:37:51 INFO     Epoch: 208, Loss: 1.2173120975494385, Score: 14, Tetrominoes: 16, Cleared lines: 0
2024-04-16 09:37:51 INFO     Epoch: 209, Loss: 1.3097230195999146, Score: 21, Tetrominoes: 23, Cleared lines: 0
2024-04-16 09:37:51 INFO     Epoch: 210, Loss: 1.239363431930542, Score: 21, Tetrominoes: 23, Cleared lines: 0
2024-04-16 09:37:51 INFO     Epoch: 211, Loss: 0.9213533401489258, Score: 17, Tetrominoes: 19, Cleared lines: 0
2024-04-16 09:37:51 INFO     Epoch: 212, Loss: 1.2564477920532227, Score: 21, Tetrominoes: 23, Cleared lines: 0
2024-04-16 09:37:51 INFO     Epoch: 213, Loss: 1.2190055847167969, Score: 13, Tetrominoes: 15, Cleared lines: 0
2024-04-16 09:37:51 INFO     Epoch: 214, Loss: 1.4994158744812012, Score: 16, Tetrominoes: 18, Cleared lines: 0
2024-04-16 09:37:51 INFO     Epoch: 215, Loss: 1.45380699634552, Score: 7, Tetrominoes: 9, Cleared lines: 0
2024-04-16 09:37:51 INFO     Epoch: 216, Loss: 1.2235385179519653, Score: 37, Tetrominoes: 29, Cleared lines: 1
2024-04-16 09:37:51 INFO     Epoch: 217, Loss: 1.2550479173660278, Score: 22, Tetrominoes: 24, Cleared lines: 0
2024-04-16 09:37:52 INFO     Epoch: 218, Loss: 1.3260512351989746, Score: 19, Tetrominoes: 21, Cleared lines: 0
2024-04-16 09:37:52 INFO     Epoch: 219, Loss: 0.9348775744438171, Score: 15, Tetrominoes: 17, Cleared lines: 0
2024-04-16 09:37:52 INFO     Epoch: 220, Loss: 1.2781323194503784, Score: 18, Tetrominoes: 20, Cleared lines: 0
2024-04-16 09:37:52 INFO     Epoch: 221, Loss: 1.2461490631103516, Score: 12, Tetrominoes: 14, Cleared lines: 0
2024-04-16 09:37:52 INFO     Epoch: 222, Loss: 1.80037522315979, Score: 17, Tetrominoes: 19, Cleared lines: 0
2024-04-16 09:37:52 INFO     Epoch: 223, Loss: 1.05702805519104, Score: 18, Tetrominoes: 20, Cleared lines: 0
2024-04-16 09:37:52 INFO     Epoch: 224, Loss: 1.696059226989746, Score: 10, Tetrominoes: 12, Cleared lines: 0
2024-04-16 09:37:52 INFO     Epoch: 225, Loss: 1.9968771934509277, Score: 20, Tetrominoes: 22, Cleared lines: 0
2024-04-16 09:37:52 INFO     Epoch: 226, Loss: 1.1457910537719727, Score: 14, Tetrominoes: 16, Cleared lines: 0
2024-04-16 09:37:52 INFO     Epoch: 227, Loss: 1.7217856645584106, Score: 18, Tetrominoes: 20, Cleared lines: 0
